40,SIEMPRE UNIDOS,20511672288,PRESENTÓ,28/06/2019,93955.34,5015.59,88939.75,93955.34,337406.2,236551.2,2018
41,SOLIDARIDAD NACIONAL,20510449593,NO PRESENTÓ,0,0,0,0,0,0,0,2018
42,TODOS POR EL PERU,20511478040,PRESENTÓ,26/06/2019,398223.98,12308.1,385915.88,398223.98,685314.1,314422.62,2018
43,UNION POR EL PERU,20511444498,PRESENTÓ,1/07/2019,13635,0,13635,13635,1514446.46,1515961.46,2018
44,VAMOS PERÚ,20555170026,PRESENTÓ,27/06/2019,247659.03,204072.05,43586.98,247659.03,405889,381351.48,2018
45,ACCIÓN POPULAR,20509374881,NO PRESENTÓ,0,0,0,0,0,0,0,2019
46,ALIANZA PARA EL PROGRESO,20510688661,PRESENTÓ,2/07/2020,493205.85,20214893.64,-19721687.79,493205.85,1373956.04,2475571.82,2019
47,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,20511586101,NO PRESENTÓ,0,0,0,0,0,0,0,2019
48,DEMOCRACIA DIRECTA,20555938927,NO PRESENTÓ,0,0,0,0,0,0,0,2019
49,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",20547972491,NO PRESENTÓ,0,0,0,0,0,0,0,2019
50,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,20600506201,NO PRESENTÓ,0,0,0,0,0,0,0,2019
51,FUERZA POPULAR,20535603261,NO PRESENTÓ,0,0,0,0,0,0,0,2019
52,JUNTOS POR EL PERU,20512752765,NO PRESENTÓ,0,0,0,0,0,0,0,2019
53,PARTIDO APRISTA PERUANO,20501723844,NO PRESENTÓ,0,0,0,0,0,0,0,2019
54,PARTIDO DEMOCRÁTICO SOMOS PERÚ,20511233527,PRESENTÓ,27/10/2020,1666459.16,6623.18,1659935.97,1666559.15,1076904.24,484200.16,2019
55,PARTIDO MORADO,20604436819,NO PRESENTÓ,0,0,0,0,0,0,0,2019
56,PARTIDO NACIONALISTA PERUANO,20513482494,PRESENTÓ,14/01/2021,1385001.72,31117.32,1353884.4,1385001.72,353102.9,156574.02,2019
57,PARTIDO POLITICO CONTIGO,20600484894,PRESENTÓ,23/12/2020,1946782.95,2042752.36,-95969.41,1946782.95,2498740.38,2477923.53,2019
58,PARTIDO POLITICO NACIONAL PERU LIBRE,20487236919,NO PRESENTÓ,0,0,0,0,0,0,0,2019
59,PARTIDO POPULAR CRISTIANO - PPC,20510839201,PRESENTÓ,7/01/2021,173201.19,1716.68,171484.51,173201.19,872021.55,837410.77,2019
60,PERU NACION,20601091233,PRESENTÓ,2/10/2020,69299,8000,61299,69299,183389,123342,2019
61,PERU PATRIA SEGURA,20512559507,NO PRESENTÓ,0,0,0,0,0,0,0,2019
62,PODEMOS PERU,20602980953,NO PRESENTÓ,0,0,0,0,0,0,0,2019
63,RENACIMIENTO UNIDO NACIONAL,20511672288,NO PRESENTÓ,0,0,0,0,0,0,0,2019
64,RESTAURACIÓN NACIONAL,20512226109,PRESENTÓ,11/09/2020,55335.97,132709.76,-77373.79,55335.97,466784.81,472607.43,2019
65,SOLIDARIDAD NACIONAL,20510449593,NO PRESENTÓ,0,0,0,0,0,0,0,2019
66,TODOS POR EL PERU,20511478040,PRESENTÓ,14/12/2020,384510.66,13579.9,370930.76,384510.66,115125.5,130110.62,2019
67,UNION POR EL PERU,20511444498,NO PRESENTÓ,0,0,0,0,0,0,0,2019
68,VAMOS PERÚ,20555170026,NO PRESENTÓ,0,0,0,0,0,0,0,2019
